phrase	count	pmi	parts_gloss	ref
רראנ חילה	3	7.4	רר - חוזר חוזר · כוח, עוצמה	פיוט #152 — צלות השבת הראש דמן חדש הראישון
לו אהב	3	5.52	ועד · לאהוב, חיבה כלפי זולתו	פיוט #152 — צלות השבת הראש דמן חדש הראישון
זאת חקת הפסח	3	18.73	זה, this · חלק, מנה, הקצבה · קפיצה, דילוג (leaping 	פיוט #152 — צלות השבת הראש דמן חדש הראישון
רראנ חילה רמה	3	18.09	רר - חוזר חוזר · כוח, עוצמה · תולעה	פיוט #152 — צלות השבת הראש דמן חדש הראישון
יתמר יהוה	3	1.51	תמר, עץ דקל ופרי (palm · יהוה, שם האלהים	פיוט #153 — האביב : ועשית פסח ליהוד • אלהיך
במה היה	3	6.0	מקום גבוה, במה · מהירות swiftness	פיוט #153 — האביב : ועשית פסח ליהוד • אלהיך
בו קמת	3	6.47	בו · עמידה, קיום, ישות	פיוט #154 — למועד חרש האביב
מנ נזרו	3	5.2	דברים · חוק, ממללה	פיוט #154 — למועד חרש האביב
צעקה נדלה	3	11.24	צעקה - צעק · גדולה, אחזינן	פיוט #154 — למועד חרש האביב
שלומ אמנ	3	3.21	שם פרטי שלום · עמידה, וקיום, התמדה, א	פיוט #155 — צלות השבת הראש דמן חדש הראישון
וזהו ושמח	3	10.59	זה, this · שמחה, joy	פיוט #155 — צלות השבת הראש דמן חדש הראישון
הזה מברכ על	3	11.35	זה, this · ברך · על (מילת יחס)	פיוט #155 — צלות השבת הראש דמן חדש הראישון
מברכ על קהלינו	3	14.66	ברך · על (מילת יחס) · ציבור, קיבוץ עם, gathe	פיוט #155 — צלות השבת הראש דמן חדש הראישון
וכנ ישמר חייבמ	3	20.76	כך, כן (ציון אופן) · שמירת מצוות האל, קיום  · חייבמ	פיוט #155 — צלות השבת הראש דמן חדש הראישון
רב ואתהו	3	6.15	גדול · אתהו = הוא (משמש כפועל	פיוט #156 — המימר י ונימר בשפתינו
ואתהו יהוה	3	3.9	אתהו = הוא (משמש כפועל · יהוה, שם האלהים	פיוט #156 — המימר י ונימר בשפתינו
איקר רב ואתהו	3	18.33	כבוד, יקר · גדול · אתהו = הוא (משמש כפועל	פיוט #156 — המימר י ונימר בשפתינו
רב ואתהו יהוה	3	12.79	גדול · אתהו = הוא (משמש כפועל · יהוה, שם האלהים	פיוט #156 — המימר י ונימר בשפתינו
ואתהו יהוה פעל	3	17.51	אתהו = הוא (משמש כפועל · יהוה, שם האלהים · לאסוף עצים	פיוט #156 — המימר י ונימר בשפתינו
כותה רבותה לה בכל	3	26.05	כמוהו · ריבוי, שפע, abundance · האות השתים עשרה באלף ב · כל, כולו	פיוט #156 — המימר י ונימר בשפתינו
איקר רב ואתהו יהוה	3	24.97	כבוד, יקר · גדול · אתהו = הוא (משמש כפועל · יהוה, שם האלהים	פיוט #156 — המימר י ונימר בשפתינו
רב ואתהו יהוה פעל	3	26.39	גדול · אתהו = הוא (משמש כפועל · יהוה, שם האלהים · לאסוף עצים	פיוט #156 — המימר י ונימר בשפתינו
ואחד הוא יהוה הנכבד	3	23.87	אחד · היה, to be (intrans.) · יהוה, שם האלהים · להכביד, לגרום לאדם להי	פיוט #156 — המימר י ונימר בשפתינו
ויקומ קמי	3	8.18	עמידה, קיום, ישות · לפני, בפני	פיוט #157 — וישתבח לא נדע בעלה
מכל חוב	3	7.67	מכל · חטא, עוון, מסר עונש אב	פיוט #157 — וישתבח לא נדע בעלה
ומנ מימי	3	7.23	ומי · running water	פיוט #157 — וישתבח לא נדע בעלה
עלמ הנפשות	3	9.95	עולם, בריאה וכל אשר בה · רווח, מרווח (space, in	פיוט #158 — צלות השבת הראש דמן חדש הראישון
הנפשות לעלמה	3	10.53	רווח, מרווח (space, in · לעולם	פיוט #158 — צלות השבת הראש דמן חדש הראישון
טב תריח	3	7.75	gem, אבן טובה · ריח, בושם, ניחוח	פיוט #158 — צלות השבת הראש דמן חדש הראישון
לחייה אמנ	3	7.27	לחי · עמידה, וקיום, התמדה, א	פיוט #158 — צלות השבת הראש דמן חדש הראישון
משה העברי	3	5.05	משה (שם פרטי) · עשה, פעל	פיוט #158 — צלות השבת הראש דמן חדש הראישון
מרכ האל	3	6.01	אדון (נאמר על האלוהים) · שלושה	פיוט #158 — צלות השבת הראש דמן חדש הראישון
הו ביתה	3	5.95	מתחבר למלה שלפניו, כגו · בושה	פיוט #158 — צלות השבת הראש דמן חדש הראישון
שת מואנ	3	12.72	מאות · מאה (100)	פיוט #158 — צלות השבת הראש דמן חדש הראישון
המכתב ויאמר	3	6.73	כתיבה, מכתב · 1. אמירה, דיבור, מוצא 	פיוט #158 — צלות השבת הראש דמן חדש הראישון
צלואתכונ ולעלמ	3	9.39	העתירו · לעולם, לנצח	פיוט #158 — צלות השבת הראש דמן חדש הראישון
מברכ הו ביתה	3	17.25	ברך · מתחבר למלה שלפניו, כגו · בושה	פיוט #158 — צלות השבת הראש דמן חדש הראישון
על המכתב ויאמר	3	13.09	על (מילת יחס) · כתיבה, מכתב · 1. אמירה, דיבור, מוצא 	פיוט #158 — צלות השבת הראש דמן חדש הראישון
משה נטה את	3	13.46	משה (שם פרטי) · לרדת (ירד עד גבר עד דל · אתה (כינוי גוף שני זכר	פיוט #158 — צלות השבת הראש דמן חדש הראישון
יקבל צלואתכונ ולעלמ	3	20.76	נשא חטא, חובה, אשמה · העתירו · לעולם, לנצח	פיוט #158 — צלות השבת הראש דמן חדש הראישון
והמקרא על המכתב ויאמר	3	25.59	מנוחה · על (מילת יחס) · כתיבה, מכתב · 1. אמירה, דיבור, מוצא 	פיוט #158 — צלות השבת הראש דמן חדש הראישון
יהוה אל משה נטה	3	18.95	יהוה, שם האלהים · אלוהות, אלהים · משה (שם פרטי) · לרדת (ירד עד גבר עד דל	פיוט #158 — צלות השבת הראש דמן חדש הראישון
אל משה נטה את	3	20.23	אלוהות, אלהים · משה (שם פרטי) · לרדת (ירד עד גבר עד דל · אתה (כינוי גוף שני זכר	פיוט #158 — צלות השבת הראש דמן חדש הראישון
משה נטה את ידכ	3	26.31	משה (שם פרטי) · לרדת (ירד עד גבר עד דל · אתה (כינוי גוף שני זכר · יד, אבר הגוף	פיוט #158 — צלות השבת הראש דמן חדש הראישון
נטה את ידכ על	3	25.13	לרדת (ירד עד גבר עד דל · אתה (כינוי גוף שני זכר · יד, אבר הגוף · על (מילת יחס)	פיוט #158 — צלות השבת הראש דמן חדש הראישון
ברנ ירחה	3	10.5	צורת רבים מאוחרת · חודש, ירח	פיוט #159 — תשתבח ותתחסל הצלות בטוב
טב זאת	3	3.97	gem, אבן טובה · זה, this	פיוט #160 — צלות השבת הראש דמן חדש הראישון
ומשה ואהרנ	3	7.6	משה (שם פרטי) · אהרן (שם עצם: הכהן הגד	פיוט #160 — צלות השבת הראש דמן חדש הראישון
חקה לא	3	4.71	חלק, מנה, הקצבה · מילת שלילה והאיסור	פיוט #160 — צלות השבת הראש דמן חדש הראישון
והארצ הטובה	3	9.1	ארץ, אדמה · gem, אבן טובה	פיוט #160 — צלות השבת הראש דמן חדש הראישון
חקה לא תכרת	3	18.98	חלק, מנה, הקצבה · מילת שלילה והאיסור · כריתת ברית	פיוט #160 — צלות השבת הראש דמן חדש הראישון
חייכמ כלבמ אה	3	16.6	קיום, חיים, עשייה למען · כלב (dog) · הנה	פיוט #160 — צלות השבת הראש דמן חדש הראישון
ישמר חייכמ כלבמ אה	3	27.13	שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען · כלב (dog) · הנה	פיוט #160 — צלות השבת הראש דמן חדש הראישון
לא יקח	3	3.47	מילת שלילה והאיסור · יקח	פיוט #162 — צלות השבת הראש דם ; חדש הראישוץ
יקח שחד	3	11.59	יקח · שוחד, תחינה, פיוס	פיוט #162 — צלות השבת הראש דם ; חדש הראישוץ
בתפלות משה	3	5.05	קל ירק spitting: ירק ב · משה (שם פרטי)	פיוט #162 — צלות השבת הראש דם ; חדש הראישוץ
מכל כלומ	3	4.02	מכל · 1. דבר, כלום, משהו (an	פיוט #162 — צלות השבת הראש דם ; חדש הראישוץ
סליחנ לכל	3	6.82	סליחנ · לכל	פיוט #162 — צלות השבת הראש דם ; חדש הראישוץ
יעקב הדנפי	3	9.1	סוף, אחרית · גיבן, גבן	פיוט #163 — צלות השבת השני דמן חדש הראישה
ואקימ מנ	3	3.13	עמידה, קיום, ישות · דברים	פיוט #163 — צלות השבת השני דמן חדש הראישה
ויטע יהוד	3	6.49	ונטע · splendor, הדר, הוד	פיוט #163 — צלות השבת השני דמן חדש הראישה
אלהימ ננ	3	5.97	אלוהים, אל · לדוג, לצוד דגים	פיוט #163 — צלות השבת השני דמן חדש הראישה
בנ יעקב הדנפי	3	17.86	בן (בפירוש בכתבי יד) · סוף, אחרית · גיבן, גבן	פיוט #163 — צלות השבת השני דמן חדש הראישה
ויטע יהוד אלהימ	3	15.04	ונטע · splendor, הדר, הוד · אלוהים, אל	פיוט #163 — צלות השבת השני דמן חדש הראישה
צלות השבת השני דמנ	3	29.12	לשקוע, להיטבע במים · לשבת, לגור, לדור · קלקול, התדרדרות, שינוי · נאמר	פיוט #163 — צלות השבת השני דמן חדש הראישה
ישתבח מנ מימר הזקנ	3	23.57	ברוך · דברים · משה · זקנה, גיל מבוגר	פיוט #163 — צלות השבת השני דמן חדש הראישה
אברהמ בנ יעקב הדנפי	3	27.62	שם פרטי: אברהם · בן (בפירוש בכתבי יד) · סוף, אחרית · גיבן, גבן	פיוט #163 — צלות השבת השני דמן חדש הראישה
קדש המשפחות	3	6.91	קידוש, הקדשה · ריבוי, עושר, שפע	פיוט #164 — ופסחתי עליכם : ולא יהיה בכם ננף
לחמ הפנימ	3	12.95	לחם · פנים, מראה	פיוט #164 — ופסחתי עליכם : ולא יהיה בכם ננף
על השלחנ	3	4.95	על (מילת יחס) · שליחה, משלוח, שגרה	פיוט #164 — ופסחתי עליכם : ולא יהיה בכם ננף
בימי מנ	3	1.91	שבועה, oath · דברים	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
התורה יתמר בריכ	3	17.31	תורה · תמר, עץ דקל ופרי (palm · ברך	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
ועל אחר התורה יתמר	3	25.63	height, גובה · לאחר, סוף · תורה · תמר, עץ דקל ופרי (palm	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
התורה יתמר בריכ אלהנו	3	28.56	תורה · תמר, עץ דקל ופרי (palm · ברך · אלוהות, God	פיוט #165 — את חרש האביב : ועשית פסח ליהוה אלהיך
מנ עשרה	3	1.48	דברים · עשר, מספר עשרה	פיוט #166 — צלות השבת השני דמן חדש הראישון
עד ארבע	3	2.75	עד, כמקום (as far as)  · ארבע (עם שמות נקבה)	פיוט #166 — צלות השבת השני דמן חדש הראישון
דור יעקב	3	7.88	שכינה, מגורים, בית · סוף, אחרית	פיוט #166 — צלות השבת השני דמן חדש הראישון
ילחמ לבמ	3	10.83	להיות טחון, נכתש · לב, נשמת האדם, קרב, תו	פיוט #166 — צלות השבת השני דמן חדש הראישון
ושמחת אתה	3	7.17	שם (בן נח) · אישה, woman	פיוט #166 — צלות השבת השני דמן חדש הראישון
ולא תראו	3	5.86	מילת שלילה והאיסור · ראייה, מראה, כל תמח בר	פיוט #166 — צלות השבת השני דמן חדש הראישון
ישר ונשוי	3	8.51	ישראל · מיד, מייד	פיוט #166 — צלות השבת השני דמן חדש הראישון
ואחר הו	3	6.29	לאחר, סוף · מתחבר למלה שלפניו, כגו	פיוט #166 — צלות השבת השני דמן חדש הראישון
וישתבח לא	3	3.61	ממיני הפיוטים · מילת שלילה והאיסור	פיוט #166 — צלות השבת השני דמן חדש הראישון
בעלה ירחמו	3	10.31	אדנות, שלטון, קניין · אהבה, חמלה	פיוט #166 — צלות השבת השני דמן חדש הראישון
וישימכ תמיד	3	8.67	שימה, הנחה, placing, p · תמיד, always	פיוט #166 — צלות השבת השני דמן חדש הראישון
עד ארבע עשר	3	13.59	עד, כמקום (as far as)  · ארבע (עם שמות נקבה) · עשר, מספר עשרה	פיוט #166 — צלות השבת השני דמן חדש הראישון
יהוה ילחמ לבמ	3	17.47	יהוה, שם האלהים · להיות טחון, נכתש · לב, נשמת האדם, קרב, תו	פיוט #166 — צלות השבת השני דמן חדש הראישון
עליכ מועדיכ ואתה	3	17.81	עליך · מועד, זמן קבוע, אסיפה · אישה, woman	פיוט #166 — צלות השבת השני דמן חדש הראישון
ושמחת אתה וביתכ	3	22.44	שם (בן נח) · אישה, woman · בית	פיוט #166 — צלות השבת השני דמן חדש הראישון
ואז ישר ונשוי	3	21.27	אז, כך · ישראל · מיד, מייד	פיוט #166 — צלות השבת השני דמן חדש הראישון
הנכבד וישתבח לא	3	15.94	להכביד, לגרום לאדם להי · ממיני הפיוטים · מילת שלילה והאיסור	פיוט #166 — צלות השבת השני דמן חדש הראישון
וישתבח לא נדע	3	17.01	ממיני הפיוטים · מילת שלילה והאיסור · נדע	פיוט #166 — צלות השבת השני דמן חדש הראישון
נדע בעלה ירחמו	3	23.7	נדע · אדנות, שלטון, קניין · אהבה, חמלה	פיוט #166 — צלות השבת השני דמן חדש הראישון
בעלה ירחמו יהוה	3	16.95	אדנות, שלטון, קניין · אהבה, חמלה · יהוה, שם האלהים	פיוט #166 — צלות השבת השני דמן חדש הראישון
הנכבד וישתבח לא נדע	3	29.34	להכביד, לגרום לאדם להי · ממיני הפיוטים · מילת שלילה והאיסור · נדע	פיוט #166 — צלות השבת השני דמן חדש הראישון
וישתבח לא נדע בעלה	3	31.86	ממיני הפיוטים · מילת שלילה והאיסור · נדע · אדנות, שלטון, קניין	פיוט #166 — צלות השבת השני דמן חדש הראישון
לא נדע בעלה ירחמו	3	30.64	מילת שלילה והאיסור · נדע · אדנות, שלטון, קניין · אהבה, חמלה	פיוט #166 — צלות השבת השני דמן חדש הראישון
נדע בעלה ירחמו יהוה	3	30.35	נדע · אדנות, שלטון, קניין · אהבה, חמלה · יהוה, שם האלהים	פיוט #166 — צלות השבת השני דמן חדש הראישון
ומברכ על	3	2.56	ברך · על (מילת יחס)	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
אתברא מנ	3	4.2	נשבר, נפגע · דברים	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
מרקה ונו	3	8.02	שילום, גמול, recompens · זמה	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
רממנ לעלמ	3	9.34	רימה, תולעה · לעולם, לנצח	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
מחרונ אפכ ויחנו	3	19.28	חרון, זעם (wrath) · אף · חן, טובה (grace)	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
לכ נביע וילבו	3	16.08	אותך · נביע · לב, נשמת האדם, קרב, תו	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
ושוב מחרונ אפכ ויחנו	3	31.44	שבת שבתות, שבת למועדים · חרון, זעם (wrath) · אף · חן, טובה (grace)	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
מחרונ אפכ ויחנו אל	3	26.05	חרון, זעם (wrath) · אף · חן, טובה (grace) · אלוהות, אלהים	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
אפכ ויחנו אל הטבעת	3	27.3	אף · חן, טובה (grace) · אלוהות, אלהים · לשקוע, לטבוע (אינטרנזי	פיוט #167 — צלות השבת השני דמן חדש הראישוץ
יעקב הרנפי	3	10.27	סוף, אחרית · הרנפי	פיוט #168 — צלות השבת השני דמן חדש הראישון
ורתי לשפיפותנ	3	13.85	PON M · שפיפותן, שפלותנו	פיוט #168 — צלות השבת השני דמן חדש הראישון
ובריתכ ינצרו	3	14.8	ברית, covenant [הלוואה · להיות נתמך, נשמר	פיוט #168 — צלות השבת השני דמן חדש הראישון
משפטיכ ליעקב	3	14.85	משפט, דין · סוף, אחרית	פיוט #168 — צלות השבת השני דמן חדש הראישון
ליעקב ותורותיכ	3	14.85	סוף, אחרית · להרים, לזקוף (כמו אריה	פיוט #168 — צלות השבת השני דמן חדש הראישון
תמירה לא	3	5.2	הזנה, הספקת מזון · מילת שלילה והאיסור	פיוט #168 — צלות השבת השני דמן חדש הראישון
עליכמ היומ	3	4.52	עליכם · יום	פיוט #168 — צלות השבת השני דמן חדש הראישון
היומ ברכה	3	6.16	יום · ברכה, איחול טוב	פיוט #168 — צלות השבת השני דמן חדש הראישון
בנ יעקב הרנפי	3	19.03	בן (בפירוש בכתבי יד) · סוף, אחרית · הרנפי	פיוט #168 — צלות השבת השני דמן חדש הראישון
ורתי לשפיפותנ אה	3	21.36	PON M · שפיפותן, שפלותנו · הנה	פיוט #168 — צלות השבת השני דמן חדש הראישון
משפטיכ ליעקב ותורותיכ	3	30.71	משפט, דין · סוף, אחרית · להרים, לזקוף (כמו אריה	פיוט #168 — צלות השבת השני דמן חדש הראישון
ולתת עליכמ היומ	3	19.05	שש (מונה מותאם לנקבה,  · עליכם · יום	פיוט #168 — צלות השבת השני דמן חדש הראישון
עליכמ היומ ברכה	3	17.57	עליכם · יום · ברכה, איחול טוב	פיוט #168 — צלות השבת השני דמן חדש הראישון
מנ מימר אברהמ בנ	3	18.0	דברים · משה · שם פרטי: אברהם · בן (בפירוש בכתבי יד)	פיוט #168 — צלות השבת השני דמן חדש הראישון
מימר אברהמ בנ יעקב	3	22.74	משה · שם פרטי: אברהם · בן (בפירוש בכתבי יד) · סוף, אחרית	פיוט #168 — צלות השבת השני דמן חדש הראישון
אברהמ בנ יעקב הרנפי	3	28.79	שם פרטי: אברהם · בן (בפירוש בכתבי יד) · סוף, אחרית · הרנפי	פיוט #168 — צלות השבת השני דמן חדש הראישון
ולתת עליכמ היומ ברכה	3	32.1	שש (מונה מותאם לנקבה,  · עליכם · יום · ברכה, איחול טוב	פיוט #168 — צלות השבת השני דמן חדש הראישון
אהיה ויתמר ברוכ אתה	3	20.99	קריאת פנייה, אהה · תמר, עץ דקל ופרי (palm · ברוך · אישה, woman	פיוט #168 — צלות השבת השני דמן חדש הראישון
וידבר יהוד	3	5.73	וידבר · splendor, הדר, הוד	פיוט #169 — צלות השבת השני דמן חדש הראישון
זאת הלילה	3	6.61	זה, this · הלילה, הערב	פיוט #169 — צלות השבת השני דמן חדש הראישון
כל קהליכונ	3	4.74	כל, כולו · ציבור, קיבוץ עם, gathe	פיוט #169 — צלות השבת השני דמן חדש הראישון
זה השבת אשר	3	9.51	זה, this · לשבת, לגור, לדור · דברים	פיוט #169 — צלות השבת השני דמן חדש הראישון
אלהנו זה השבת אשר	3	20.76	אלוהות, God · זה, this · לשבת, לגור, לדור · דברים	פיוט #169 — צלות השבת השני דמן חדש הראישון
ואתה יהוה אל	3	8.04	אישה, woman · יהוה, שם האלהים · אלוהות, אלהים	פיוט #170 — אם יראו ביום השבת
לטוב לנו נשאל	3	20.85	הצדיקים, הטובים · לנו · שאל, בקשה, חקירה	פיוט #170 — אם יראו ביום השבת
ואתה יהוה אל רחומ	3	17.77	אישה, woman · יהוה, שם האלהים · אלוהות, אלהים · רחום, חנון וחמלן	פיוט #170 — אם יראו ביום השבת
בל בכור	3	6.6	דעת, שכל · בן ראשון, בכור	פיוט #171 — צלות מועד הפסח
יהוד אל משה ואל	3	17.86	splendor, הדר, הוד · אלוהות, אלהים · משה (שם פרטי) · אלוהות, אלהים	פיוט #171 — צלות מועד הפסח
ליהוה שמירימ	3	9.36	יהוה, שם האלהים · שמירימ	פיוט #172 — יאכל חמץ היום : ± ואתם יוצאים בחדש האביב
מועכ הפסח	3	9.57	מועכ · קפיצה, דילוג (leaping 	פיוט #172 — יאכל חמץ היום : ± ואתם יוצאים בחדש האביב
וכריכ אלהנו	3	11.25	1. מקור, מקום מוצא · אלוהות, God	פיוט #173 — צלות לילת מועד הפסח רטשה
ושחטו אתו	3	9.56	ושחט · אישה, woman	פיוט #173 — צלות לילת מועד הפסח רטשה
ויהי בחצי	3	8.13	מהירות swiftness · reynd	פיוט #174 — צלית לילה מועך הפסח רמשה
ויהי בחצי הלילה	3	20.52	מהירות swiftness · reynd · הלילה, הערב	פיוט #174 — צלית לילה מועך הפסח רמשה
אחד וגו	3	2.33	אחד · קרב, פנים, תוך, חלק פנ	פיוט #176 — צלות מועד הפסח צפרה בדקטם
אלא אחי	3	4.96	מילית קישור: אם לא, אל · אחי	פיוט #176 — צלות מועד הפסח צפרה בדקטם
מותר מנונ	3	5.92	מאוד · מהם	פיוט #176 — צלות מועד הפסח צפרה בדקטם
קרבנימ כמה	3	8.03	קרבן, הקרבה · כפי	פיוט #176 — צלות מועד הפסח צפרה בדקטם
משה דשמו	3	5.23	משה (שם פרטי) · ראייה, אמדן, הערכה, מר	פיוט #176 — צלות מועד הפסח צפרה בדקטם
גנ בערנ	3	10.83	גן, כמו גן ה' כמו מצרי · דליקה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
וישמ שמ	3	4.23	יש, ישנו · שם (בן נח)	פיוט #176 — צלות מועד הפסח צפרה בדקטם
יצר ויצמיח	3	12.17	נטייה, יצר הלב, נטיות  · להצמיח תבואה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
ויצמיח יהוד	3	7.73	להצמיח תבואה · splendor, הדר, הוד	פיוט #176 — צלות מועד הפסח צפרה בדקטם
ודראנ ממנה	3	8.9	סוג של פיוט, חלק מהליט · מנה, כמות	פיוט #176 — צלות מועד הפסח צפרה בדקטם
טבה דמיטב	3	10.93	gem, אבן טובה · הטוב ביותר, מיטב	פיוט #176 — צלות מועד הפסח צפרה בדקטם
כארזינ ואמרימ ועל	3	18.86	תיקון מבזי (Corr. from · 1. אמירה, דיבור, מוצא  · height, גובה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
אלא אחד וגו	3	10.92	מילית קישור: אם לא, אל · אחד · קרב, פנים, תוך, חלק פנ	פיוט #176 — צלות מועד הפסח צפרה בדקטם
אשר יצר ויצמיח	3	19.5	דברים · נטייה, יצר הלב, נטיות  · להצמיח תבואה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
ומרקה אתהו אלהננ	3	21.1	שילום, גמול, recompens · אתהו = הוא (משמש כפועל · אלוהות, God	פיוט #176 — צלות מועד הפסח צפרה בדקטם
ומרקה הבו תשבחתה	3	21.9	שילום, גמול, recompens · נתן, לתת · שבח, תהילה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
כארזינ ואמרימ ועל פתח	3	29.82	תיקון מבזי (Corr. from · 1. אמירה, דיבור, מוצא  · height, גובה · פתח, aperture (פיה)	פיוט #176 — צלות מועד הפסח צפרה בדקטם
וישמ שמ את האדמ	3	24.91	יש, ישנו · שם (בן נח) · אתה (כינוי גוף שני זכר · אבן יקרה, גם	פיוט #176 — צלות מועד הפסח צפרה בדקטם
האדמ אשר יצר ויצמיח	3	32.26	אבן יקרה, גם · דברים · נטייה, יצר הלב, נטיות  · להצמיח תבואה	פיוט #176 — צלות מועד הפסח צפרה בדקטם
שמ רדפ	3	8.25	שם (בן נח) · לרדוף, לצוד	פיוט #178 — אש ליל * וענן יומם
ישראל וגו	3	1.22	ישראל, שמו של יעקב · קרב, פנים, תוך, חלק פנ	פיוט #178 — אש ליל * וענן יומם
יהוה שמעו	3	3.18	יהוה, שם האלהים · שמעו	פיוט #178 — אש ליל * וענן יומם
מי הימ	3	4.61	מילת שאלה לאדם: מי · הים	פיוט #178 — אש ליל * וענן יומם
לשני נוימ	3	10.68	אבר מאברי הדיבור, לשון · נוימ	פיוט #178 — אש ליל * וענן יומם
הצדיקימ אדיקת	3	12.21	צדיק, הולך בצדק ובהגינ · הסתכלות, looking	פיוט #178 — אש ליל * וענן יומם
ישיר משה	3	5.96	שיר, שירה · משה (שם פרטי)	פיוט #178 — אש ליל * וענן יומם
אשר ראו	3	2.87	דברים · ראייה, מראה, כל תמח בר	פיוט #178 — אש ליל * וענן יומם
ראו אויב	3	9.15	ראייה, מראה, כל תמח בר · בי-טוני: enemy	פיוט #178 — אש ליל * וענן יומם
אויב צליל	3	13.19	בי-טוני: enemy · צליל	פיוט #178 — אש ליל * וענן יומם
יומה יומה	3	2.39	היום, כיום · היום, כיום	פיוט #178 — אש ליל * וענן יומם
ריחות גנ	3	10.15	ריח, בושם, ניחוח · גן, כמו גן ה' כמו מצרי	פיוט #178 — אש ליל * וענן יומם
גנ ערנ	3	9.07	גן, כמו גן ה' כמו מצרי · הלא לבני לוט יהבת ית ע	פיוט #178 — אש ליל * וענן יומם
קהל עבראי	3	7.27	ציבור, קיבוץ עם, gathe · עברי, איש עברי	פיוט #178 — אש ליל * וענן יומם
ותהי עליו	3	4.86	תהייה, ותמהון, חרטה · עליו	פיוט #178 — אש ליל * וענן יומם
ולא היה	3	2.56	מילת שלילה והאיסור · מהירות swiftness	פיוט #178 — אש ליל * וענן יומם
יהוה שפטימ	3	5.64	יהוה, שם האלהים · דין, משפט (judgement)	פיוט #178 — אש ליל * וענן יומם
כי נפושה	3	6.58	כי, ש־ (before object  · רווח, מרווח (space, in	פיוט #178 — אש ליל * וענן יומם
מי עשה	3	3.17	מילת שאלה לאדם: מי · עושה	פיוט #178 — אש ליל * וענן יומם
עשה לכ	3	1.35	עושה · אותך	פיוט #178 — אש ליל * וענן יומם
זכות הצדיקימ אדיקת	3	26.89	זך · צדיק, הולך בצדק ובהגינ · הסתכלות, looking	פיוט #178 — אש ליל * וענן יומם
ראו אויב צליל	3	25.0	ראייה, מראה, כל תמח בר · בי-טוני: enemy · צליל	פיוט #178 — אש ליל * וענן יומם
צלות מועד הפסח	3	15.53	לשקוע, להיטבע במים · מועד, זמן קבוע, אסיפה · קפיצה, דילוג (leaping 	פיוט #178 — אש ליל * וענן יומם
יפה לנו כל	3	11.97	לנהוג כשורה, to act ri · לנו · כל, כולו	פיוט #178 — אש ליל * וענן יומם
לנו כל יומינו	3	14.36	לנו · כל, כולו · יום	פיוט #178 — אש ליל * וענן יומם
כי נפושה קריב	3	19.11	כי, ש־ (before object  · רווח, מרווח (space, in · להתקרב, לגשת	פיוט #178 — אש ליל * וענן יומם
יהוה אל משה ואל	3	14.9	יהוה, שם האלהים · אלוהות, אלהים · משה (שם פרטי) · אלוהות, אלהים	פיוט #178 — אש ליל * וענן יומם
יפה לנו כל יומינו	3	26.66	לנהוג כשורה, to act ri · לנו · כל, כולו · יום	פיוט #178 — אש ליל * וענן יומם
במועד הזה	3	8.96	מועד, זמן קבוע, אסיפה · זה, this	פיוט #179 — צלות מועך הפסח צפרה בדקטס
עבודה ואלהימ	3	8.59	בורא, יוצר · אלוהים, אל	פיוט #179 — צלות מועך הפסח צפרה בדקטס
יד נביאכ משה	3	14.23	יד, אבר הגוף · נביא, prophet · משה (שם פרטי)	פיוט #179 — צלות מועך הפסח צפרה בדקטס
אתהו עבודה ואלהימ	3	20.01	אתהו = הוא (משמש כפועל · בורא, יוצר · אלוהים, אל	פיוט #179 — צלות מועך הפסח צפרה בדקטס
ממצרימ במופתימ יקירימ	3	20.0	ממצרים · אות, מופת, פלא · נכבד, יקר, נורא ונשגב	פיוט #180 — רב אלה וכי בשם ושרו הזקנים אלקטף
ואפרש לנ מועדימ	3	16.6	להפריד, להבדיל (trans. · עלינו · מועד, זמן קבוע, אסיפה	פיוט #180 — רב אלה וכי בשם ושרו הזקנים אלקטף
זה מועד הפסח	3	12.13	זה, this · מועד, זמן קבוע, אסיפה · קפיצה, דילוג (leaping 	פיוט #180 — רב אלה וכי בשם ושרו הזקנים אלקטף
אבהתנ ממצרימ במופתימ יקירימ	3	32.33	אבותינו · ממצרים · אות, מופת, פלא · נכבד, יקר, נורא ונשגב	פיוט #180 — רב אלה וכי בשם ושרו הזקנים אלקטף
פני אהרנ	3	4.05	פני · אהרן (שם עצם: הכהן הגד	פיוט #181 — בערב כבוא השמש : מועד ציאתך ממצרים
